userID,Monster_Number,First Rnd to Game Result Duration,Community Board Freq Clicks Array,CB Clicks A,CB Clicks B,CB Clicks C,CB Clicks D,CB Clicks E,RndA Duration,RndB Duration,RndC Duration,RndD Duration,RndE Duration,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Init Choice,Init Reason,Community Choice,Community Reason,Rnd1 Answer Change,Rnd2 Answer Change,Rnd3 Answer Change,Rnd4 Answer Change,Rnd5 Answer Change
ID-0815-032743AMIST-703379681,1,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:00:37,0:01:25,0:01:11,0:00:56,0:00:50,4,"""Because this food had low carbohydrates.""",2,"""Because this food had low carbohydrates.""",4,"""Because this food had low carbohydrate.""",4,"""Because this food had low carbohydrate.""",1,"""Because this food is low fat.""",1,"""Because this food is low fat.""",4,"""Because this food had low fat.""",4,"""Because this food had low fat.""",1,"""Because this food had low carbohydrate.""",1,"""Because this food had low carbohydrate.""",1,1,1,1,0
ID-0813-120619PMEDT-764384628,1,,"[1, 1, 1, 5, 2]",1,1,1,5,2,0:00:05,0:00:13,0:00:09,0:00:24,0:00:19,4,"""ug. ug ug""",1,"""ug. ug ug""",2,"""jg jv. ug uv""",1,"""jg jv. ug uv""",3,"""j vvj jv. uv""",1,"""j vvj jv. uv""",3,"""ig ig. ig""",1,"""ig ig. ig""",3,"""ig ig I g""",2,"""ig ig I g""",0,0,0,0,0
ID-0813-102401pmGMT+05:30-680725392,1,,"[2, 2, 3, 2, 2]",2,2,3,2,2,0:01:30,0:01:02,0:01:28,0:01:00,0:01:23,3,"""almonds is a very healdhy food and costly""",1,"""almonds is a very healdhy food and costly""",3,"""it is not for healthy""",1,"""it is not for healthy""",4,"""coffee""",4,"""coffee""",2,"""vegetables is very healthy""",2,"""vegetables is very healthy""",3,"""chicken is colostral """,3,"""chicken is colostral """,0,1,1,0,1
ID-0820-102517PMGMT+05:30-527024748,3,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:00:22,0:00:30,0:00:43,0:00:38,0:00:33,1,"""more carbohydrate""",1,"""more carbohydrate""",1,"""high carbohydrate""",1,"""high carbohydrate""",4,"""high carbohydrate""",1,"""high carbohydrate""",3,"""high carbohydrate""",1,"""high carbohydrate""",1,"""diet food""",2,"""diet food""",0,1,0,0,1
ID-0813-025640PMEDT-98934737,2,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:01:11,0:01:18,0:01:34,0:01:01,0:00:58,1,"""These fruits shouldn't have much fat. """,1,"""These fruits shouldn't have much fat. """,1,"""All the foods are very light. """,1,"""All the foods are very light. """,4,"""All are light foods and don't have much fat. """,4,"""All are light foods and don't have much fat. """,4,"""Beside the steak, the others should be low in fat. """,4,"""Beside the steak, the others should be low in fat. """,1,"""The cucumber doesn't really count. """,1,"""The cucumber doesn't really count. """,1,1,1,1,1
ID-0814-034808PMEDT-396238958,2,,"[2, 4, 2, 4, 2, 2]",2,4,2,4,2,0:00:57,0:01:30,0:01:05,0:01:55,0:01:14,1,"""Plain fruit should have no fat.""",1,"""Plain fruit should have no fat.""",1,"""Plain salad has no fat.""",1,"""Plain salad has no fat.""",1,"""Cereal has almost no fat.""",1,"""Cereal has almost no fat.""",1,"""Chicken has very little fat.""",1,"""Chicken has very little fat.""",1,"""There are many vegetables.""",1,"""There are many vegetables.""",1,1,1,1,1
ID-0814-082119amGMT+05:30-460761561,4,,"[2, 2, 2, 2, 2]",2,2,2,2,2,0:00:24,0:00:32,0:00:40,0:00:50,0:00:27,2,"""sweet""",2,"""sweet""",3,"""fruts is all person like""",1,"""fruts is all person like""",3,"""frouts """,1,"""frouts """,1,"""wegetable """,1,"""wegetable """,1,"""Rish is health good""",1,"""Rish is health good""",0,1,1,1,0
ID-0814-102512PMEDT-941428973,1,,"[11, 2, 8, 5, 2]",11,2,8,5,2,0:01:38,0:02:52,0:03:20,0:01:34,0:02:30,1,"""Small portion of nuts is good for you.""",1,"""Small portion of nuts is good for you.""",1,"""Red snapper is meat.  All the veggies are low carb balanced.""",1,"""Red snapper is meat.  All the veggies are low carb balanced.""",1,"""No carbs in tuna (meat). Carrots and arugula are low carb balanced.""",1,"""No carbs in tuna (meat). Carrots and arugula are low carb balanced.""",1,"""Contains meat, zero carbs.  Salad is well balanced carbs.""",1,"""Contains meat, zero carbs.  Salad is well balanced carbs.""",2,"""Shrimp is meat, zero carbs.  Rice has a little more carbs but it balances the meal.""",2,"""Shrimp is meat, zero carbs.  Rice has a little more carbs but it balances the meal.""",1,1,1,1,1
ID-0813-103951PMGMT+05:30-489846797,2,,"[7, 6, 6, 2, 2]",7,6,6,2,2,0:00:31,0:02:14,0:02:03,0:01:05,0:01:10,2,"""Cashews it's good portion""",2,"""Cashews it's good portion""",2,"""it's good breakfast food""",2,"""it's good breakfast food""",1,"""it's nice dinner food""",1,"""it's nice dinner food""",3,"""salmon it's vegata like food""",3,"""salmon it's vegata like food""",4,"""it's good flavour nice taste""",4,"""it's good flavour nice taste""",1,1,1,1,1
ID-0813-110353pmGMT+05:30-903135320,2,,"[3, 2, 2, 2, 2]",3,2,2,2,2,0:01:32,0:01:15,0:01:51,0:00:31,0:01:04,3,"""berries""",1,"""berries""",4,"""tomatoes""",1,"""tomatoes""",2,"""grapes""",2,"""grapes""",3,"""tomatoes""",1,"""tomatoes""",1,"""cucumber carrots""",1,"""cucumber carrots""",0,1,0,0,1
