userID,condition,Monster_Number,len1,len2,len3,len4,len5,all_initial_len,First_Rnd_to_Game_Result_Duration,Rnd1_Duration,Rnd2_Duration,Rnd3_Duration,Rnd4_Duration,Rnd5_Duration,Init_Choice1,Init_Reason1,Init_Choice2,Init_Reason2,Init_Choice3,Init_Reason3,Init_Choice4,Init_Reason4,Init_Choice5,Init_Reason5,Rnd1_Correct,Rnd2_Correct,Rnd3_Correct,Rnd4_Correct,Rnd5_Correct
ID-0611-104949AMIST-330607551,0,2,75,36,44,41,47,243,0:04:55,0:00:58,0:01:10,0:00:48,0:00:43,0:01:13,1,"""fruits are always low in fat. Theses fruits are good source of vitamin c.""",1,"""salad is always low in fat content""",1,"""banana is low in fat. cereal is also good.""",1,"""higher amount of salad is present here.""",1,"""this meal is full of vegetables. so lower fat""",1,1,1,1,1
ID-0611-111059amIST-584611746,0,3,19,17,16,56,59,167,0:02:41,0:00:47,0:00:47,0:00:20,0:00:27,0:00:18,2,"""it has more carbs""",2,"""it has chicken """,4,"""it has cheese """,4,"""it has cheese and mustard so i think it has more carbs""",1,"""it has chicken and meatballs so i think it has more carbs""",0,0,0,0,1
ID-0609-121243amGMT+05:30-911033927,0,4,25,32,28,41,37,163,0:05:54,0:02:30,0:01:21,0:00:55,0:00:35,0:00:31,1,"""The vegetable contains.""",1,"""The nuts are contains in this.""",3,"""The apple contain in this.""",2,"""Because the broccoli present this dish.""",1,"""Because the beans contains in this.""",1,1,0,0,1
ID-850716044-085459,0,3,23,26,19,18,26,112,0:01:44,0:00:26,0:00:24,0:00:23,0:00:16,0:00:14,3,"""it's have more energy""",1,"""it's have more nutrition""",2,"""it's very healthy""",1,"""have more energy""",3,"""it's have more nutrition""",0,1,0,1,0
ID-500495237-073714,0,1,12,20,12,23,9,76,0:04:19,0:00:38,0:00:35,0:01:18,0:00:56,0:00:50,3,"""less carbs""",1,"""it has least carbs""",1,"""less carbs""",2,"""lesser carbohydrates """,1,"""fresher""",0,1,1,0,1
ID-0608-021856PMEDT-720575577,0,3,57,46,38,41,29,211,0:04:46,0:01:28,0:01:40,0:00:36,0:00:38,0:00:21,4,"""I think the chicken and cheese are the healthiest carbs""",3,"""the cheese is high carb along with the bread""",2,"""both the yogurt and fruit have carbs""",4,"""the meat and cheese are higher in carbs""",1,"""pasta is very high in carbs""",0,0,0,0,1
ID-0611-081419AMIST-364645798,0,1,27,6,7,9,11,60,0:01:18,0:00:15,0:00:28,0:00:13,0:00:10,0:00:09,3,"""almonds grapes aand apple""",2,"""rice""",3,"""juice""",3,"""healthy""",3,"""spaghetti""",0,0,0,0,0
ID-149214751-070931,0,3,45,31,52,66,25,219,0:04:02,0:00:49,0:00:47,0:00:39,0:00:51,0:00:52,2,"""The French fries and bun are entirely carbs""",3,"""Pizza crust is entirely carbs""",1,"""These fruits contain a lot of sugar which is carbs""",1,"""The cereal is all carbs and the milk and banana contain some too""",1,"""pasta is entirely carbs""",0,0,1,1,1
ID-627687926-083627,0,4,8,8,8,8,11,43,0:01:47,0:00:20,0:00:32,0:00:16,0:00:22,0:00:15,3,"""i like""",1,"""i know""",4,"""i feel""",4,"""i know""",1,"""i feel it""",0,1,0,0,1
ID-790095198-092542,0,2,34,34,29,27,29,153,0:03:13,0:00:42,0:00:55,0:00:35,0:00:37,0:00:22,1,"""high in vitamin c and low in fat""",1,"""salad is low in calories and fat""",1,"""milk and banana are low fat""",1,"""chicken breast is low fat""",2,"""broccoli is good for health""",1,1,1,1,0
ID-852030110-100723,0,3,43,41,29,44,21,178,0:02:07,0:00:27,0:00:28,0:00:25,0:00:28,0:00:17,4,"""chicken breast have high amount of carbs.""",1,"""beans, salad have high amount of carbs.""",2,"""it gives more carbohydrates""",2,"""it gives more high amount of carbohydrates""",1,"""it gives more carbs""",0,1,0,0,1
ID-0610-112746pmGMT+05:30-139532053,0,4,33,25,26,31,34,149,0:03:33,0:00:56,0:00:54,0:00:39,0:00:28,0:00:35,1,"""Vegetables cantains more fibre.""",3,"""Fruits  has more fibre.""",1,"""Fruit has antioxidants. """,1,"""Vinegar reduces cholesterol. """,2,"""Vegetables  are always healthy. """,1,0,1,1,0
ID-0611-092555PMIST-735221034,0,1,20,52,54,16,22,164,0:06:59,0:02:19,0:02:03,0:00:54,0:00:58,0:00:43,3,"""this is confirmed """,1,"""no non vegetarian item and mostly green vegetables""",2,"""protein rich chicken and Sunflower seeds and carrots""",2,"""all vegetables""",1,"""this one is correct """,0,1,0,0,1
ID-38913428-091026,0,1,13,13,17,13,13,69,0:02:36,0:00:20,0:01:15,0:00:19,0:00:24,0:00:14,3,"""i like this""",3,"""i like this""",2,"""i like this one""",2,"""i like this""",1,"""i like this""",0,0,0,0,1
ID-0609-070015AMIST-654686807,0,4,17,17,17,17,17,85,0:03:08,0:00:47,0:00:32,0:00:31,0:00:40,0:06:43,2,"""higher in fiber""",4,"""higher in fibre""",1,"""higher in fiber""",1,"""higher in fiber""",1,"""higher in fibre""",0,0,1,1,1
