userID,condition,Monster_Number,len1,len2,len3,len4,len5,all_initial_len,len1_1,len1_2,len1_3,len1_4,len1_5,all_comm_len
ID-0812-125410AMBRT-93573122,1,2,9,9,19,9,12,58,9,9,19,9,12,58
ID-0813-025640PMEDT-98934737,1,2,40,32,47,53,37,209,40,32,47,53,37,209
ID-0813-040151PMGMT-03:00-948836545,1,2,44,28,62,50,36,220,44,28,62,50,36,220
ID-0813-102021PMIST-460234729,1,4,49,40,74,43,86,292,49,40,74,43,86,292
ID-0813-102401pmGMT+05:30-680725392,1,1,43,23,8,28,23,125,43,23,8,28,23,125
ID-0813-103623PMGMT+05:30-673506994,1,1,14,10,9,9,36,78,14,10,9,9,36,78
ID-0813-103951PMGMT+05:30-489846797,1,2,27,26,23,30,30,136,27,26,23,30,30,136
ID-0813-105633PMCDT-380564685,1,3,26,28,45,104,28,231,26,28,45,104,28,231
ID-0813-110353pmGMT+05:30-903135320,1,2,9,10,8,10,18,55,9,10,8,10,18,55
ID-0813-110809pmGMT+05:30-924446122,1,1,12,12,32,20,60,136,12,12,32,20,60,136
ID-0814-011843amGMT+05:30-774901885,1,2,9,53,26,32,47,167,9,53,26,32,47,167
ID-0814-013456AMGMT+05:30-768567456,1,4,21,29,23,39,33,145,21,29,23,39,33,145
ID-0814-034808PMEDT-396238958,1,2,33,25,27,30,28,143,33,25,27,30,28,143
ID-0814-082119amGMT+05:30-460761561,1,4,7,26,9,12,21,75,7,26,9,12,21,75
ID-0814-102512PMEDT-941428973,1,1,40,62,69,59,85,315,40,62,69,59,85,315
ID-0815-021205AMIST-931241271,1,1,42,9,8,9,10,78,42,9,8,9,10,78
ID-0815-123523AMIST-144841739,1,3,15,27,29,21,30,122,15,27,29,21,30,122
ID-0818-085456PMEDT-127206547,1,4,17,51,38,78,53,237,17,51,38,78,53,237
ID-0820-061851PMEST-858229596,1,1,35,46,57,39,62,239,35,46,57,39,62,239
ID-0820-094820AMCDT-334550354,1,3,20,21,26,26,21,114,20,21,26,26,21,114
ID-0820-103441pmGMT+05:30-107565429,1,3,37,63,27,45,39,211,37,63,27,45,39,211
ID-0825-062237PMBRT-570410986,1,2,20,29,47,41,36,173,77,59,145,70,64,415
ID-0825-071923PMPDT-482888411,1,1,139,56,84,187,135,601,56,216,34,86,29,421
ID-0826-014959amGMT+05:30-208802805,1,3,19,28,27,17,25,116,19,28,32,23,25,127
ID-0826-020443AMIST-881688,1,3,36,24,31,24,24,139,56,33,23,31,23,166
ID-0826-034143AMGMT+05:30-527841283,1,1,11,20,24,6,17,78,6,11,6,13,20,56
ID-0826-042232pmGMT+05:30-111992536,1,1,25,4,11,13,12,65,17,12,18,18,18,83
ID-0826-042738AMGMT+05:30-508328457,1,1,66,53,25,69,36,249,33,93,25,28,25,204
ID-0826-095243amGMT+05:30-328382904,1,1,33,23,9,29,15,109,13,28,6,12,6,65
ID-0830-054520PMCDT-2898864,1,3,45,30,24,51,28,178,42,42,23,31,32,170
ID-0830-103515pmGMT+05:30-620306760,1,3,122,44,60,108,173,507,158,66,58,193,82,557
ID-0830-084718PMIST-679108612,1,4,17,20,20,14,23,94,26,22,16,18,15,97
ID-0830-043845pmCEST-88243611,1,3,24,113,35,47,47,266,65,99,100,37,75,376
ID-0830-023422PMCDT-247099562,1,4,137,136,115,134,119,641,121,111,88,125,76,521
ID-0811-062108PMGMT+02:00-686600640,1,2,8,8,11,11,9,47,8,8,11,11,9,47
ID-0811-102657PMEDT-792152583,1,2,18,23,61,50,77,229,18,23,61,77,72,251
ID-0812-071209AMBRT-39677090,1,2,13,13,13,13,13,65,13,13,13,13,13,65
ID-0812-073905PMBRT-685184568,1,1,11,6,6,11,6,40,11,6,6,11,6,40
ID-0812-074923PMBRT-592296978,1,1,3,3,3,3,3,15,3,3,3,3,3,15
ID-0812-101304AMBRT-848432031,1,3,9,9,9,9,9,45,9,9,9,9,9,45
ID-0812-120315AMBRT-845270635,1,1,18,15,30,29,47,139,18,15,30,29,47,139
ID-0812-120827AMBRT-310871708,1,2,6,27,16,11,18,78,6,27,16,11,18,78
ID-0812-123833AMBRT-266191036,1,2,19,19,14,10,10,72,19,19,14,10,10,72
ID-0813-062558PMEDT-774714436,1,3,20,39,48,17,35,159,20,39,48,17,35,159
